prompt,expert
新幹線のチケットをどこで買えますか？  ,1
서울 지하철 노선도를 보여 주세요.  ,1
이 앱은 어떻게 사용하나요?  ,1
ما هي عاصمة لبنان؟  ,1
أين أجد هذا الكتاب؟  ,1
请问洗手间在哪里？  ,1
你会说英文吗？  ,1
Где находится ближайшая аптека?  ,1
Какой сегодня день недели?  ,1
Onde posso pegar um táxi?  ,1
Como funciona o sistema solar?  ,1
मैं टिकट कहाँ खरीद सकता हूँ?  ,1
तुम्हारा पसंदीदा खाना क्या है?  ,1
¿Cómo se pronuncia esta palabra?  ,1
¿Qué es una función recursiva?  ,1
Wie funktioniert ein Kühlschrank?  ,1
Wie programmiere ich ein einfaches Spiel?  ,1
Come posso ottenere un passaporto?  ,1
Come si fa il backup del telefono?  ,1
漢字はどうやって覚えますか？  ,1
日本語を話せますか？  ,1
한국 드라마 추천해 주세요.  ,1
이 단어 뜻이 뭐예요?  ,1
كيف أتعلم اللغة الإنجليزية؟  ,1
ما الفرق بين HTTP و HTTPS؟  ,1
你喜欢什么运动？  ,1
我该怎么准备考试？  ,1
Как работает интернет?  ,1
Как приготовить пельмени?  ,1
Qual é a melhor forma de estudar?  ,1
Como faço para enviar um arquivo?  ,1
कैसे पता करें कि कंप्यूटर में वायरस है?  ,1
क्या तुम मेरी मदद कर सकते हो?  ,1
Comment cuisiner un gratin dauphinois ?,2
Quelle est la capitale de la Norvège ?,2
Comment écrire une lettre de motivation ?,2
Quelle est la différence entre un crocodile et un alligator ?,2
Comment apprendre à jouer du piano ?,2
Quels sont les bienfaits du thé vert ?,2
Comment fonctionne l'énergie solaire ?,2
Comment améliorer sa mémoire ?,2
Quel est le meilleur film de tous les temps ?,2
Comment méditer efficacement ?,2
Quelles sont les bases de la photographie ?,2
Comment faire un nœud de cravate ?,2
Quelle est la recette d’un gâteau au chocolat ?,2
Comment bien dormir la nuit ?,2
Quels sont les symptômes de la grippe ?,2
Comment faire un CV moderne ?,2
Quelle est la signification du drapeau français ?,2
Comment fonctionne une éclipse solaire ?,2
Quels sont les pays francophones ?,2
Comment recycler correctement ses déchets ?,2
Comment dire 'bonjour' en japonais ?,2
Quelle est la distance entre la Terre et la Lune ?,2
Comment réussir un entretien d'embauche ?,2
Comment créer un mot de passe sécurisé ?,2
Quel est le meilleur moment pour planter des tomates ?,2
Comment calculer une TVA ?,2
Quels sont les effets du stress sur le corps ?,2
Comment préparer un smoothie aux fruits rouges ?,2
Comment prendre une photo de nuit ?,2
Quelle est la différence entre un virus et une bactérie ?,2
Comment apprendre une langue étrangère rapidement ?,2
Quelle est la monnaie du Brésil ?,2
Comment fonctionne un moteur à combustion ?,2
Comment faire une capture d’écran sur un ordinateur ?,2
Quels sont les différents types de nuages ?,2
Comment économiser de l’argent au quotidien ?,2
Comment écrire un poème ?,2
Quelle est la recette traditionnelle de la ratatouille ?,2
Comment éviter la procrastination ?,2
Qu’est-ce que le changement climatique ?,2
Comment faire du pain maison ?,2
Quels sont les signes du zodiaque ?,2
Comment fonctionne un ordinateur ?,2
Comment faire une présentation PowerPoint efficace ?,2
Quels sont les droits de l’enfant ?,2
Comment installer une application sur Android ?,2
Quelle est la hauteur de la Tour Eiffel ?,2
Comment créer un site web ?,2
Quelles sont les langues les plus parlées dans le monde ?,2
Comment bien s’étirer après le sport ?,2
Quelle est la meilleure manière de se concentrer ?,2
Comment fonctionne une imprimante 3D ?,2
Comment faire des économies d’énergie à la maison ?,2
Comment reconnaître une œuvre impressionniste ?,2
Quel est le rôle de l’ONU ?,2
Comment faire une demande de passeport ?,2
Quelles sont les bases de la programmation ?,2
Comment écrire une dissertation ?,2
Comment fonctionne le système digestif ?,2
Comment reconnaître une étoile filante ?,2
Quel est le rôle du cerveau ?,2
Comment bien utiliser les réseaux sociaux ?,2
Quelles sont les plus grandes inventions françaises ?,2
Comment fonctionne une voiture électrique ?,2
Qu’est-ce qu’une démocratie ?,2
Comment bien organiser son temps ?,2
Quelle est la meilleure façon d’apprendre à dessiner ?,2
Comment fonctionne une blockchain ?,2
Comment faire pousser des plantes en intérieur ?,2
Quels sont les avantages du télétravail ?,2
Comment gérer un conflit au travail ?,2
Quelle est la recette du croissant ?,2
Comment apprendre les mathématiques autrement ?,2
Qu’est-ce que l’intelligence artificielle ?,2
Comment faire un budget personnel ?,2
Quels sont les bienfaits de la lecture ?,2
Comment choisir un bon vin ?,2
Qu’est-ce que l’effet papillon ?,2
Comment fonctionne une carte bancaire ?,2
Comment bien préparer un voyage ?,2
Quelles sont les causes de la pollution de l’air ?,2
Comment faire une sauvegarde de son téléphone ?,2
Quelles sont les règles de base du rugby ?,2
Comment écrire une histoire captivante ?,2
Comment fonctionne une ampoule LED ?,2
Quels sont les avantages du yoga ?,2
Comment apprendre à coder en Python ?,2
Qu’est-ce qu’un algorithme ?,2
Comment se préparer à un examen ?,2
Quelle est la meilleure méthode pour apprendre à lire ?,2
Comment faire une vidéo YouTube ?,2
Qu’est-ce qu’un haïku ?,2
Comment fonctionne un volcan ?,2
Comment prendre soin d’un chat ?,2
Quels sont les bienfaits de la marche ?,2
Comment comprendre les rêves ?,2
Comment fonctionne Internet ?,2
Quelles sont les bases de la couture ?,2
Comment reconnaître un bon fromage ?,2
Comment créer un podcast ?,2
Quelles sont les étapes de la digestion ?,2
Comment bien utiliser un agenda ?,2
Qu’est-ce que la biodiversité ?,2
How do I write a for loop in Python?,3
What's the difference between a list and a tuple?,3
How do I reverse a string in JavaScript?,3
What is a null pointer exception?,3
How can I optimize this SQL query?,3
How do I center a div in CSS?,3
What's the best way to handle errors in Python?,3
How do I install a package with pip?,3
Why is my code running so slowly?,3
How do I use Git to roll back a commit?,3
What's the difference between == and ===?,3
How do I convert JSON to a dictionary in Python?,3
How can I make my code more readable?,3
"What is recursion, and when should I use it?",3
How do I comment out a block of code in C++?,3
How do I connect to a database in Node.js?,3
What is the difference between PUT and POST?,3
How do I remove duplicates from a list?,3
How do I check if a variable is null?,3
How do I loop through a dictionary in Python?,3
What's the syntax for a lambda function?,3
How can I write unit tests for my functions?,3
What is an API and how do I use one?,3
How do I push my code to GitHub?,3
Why am I getting a segmentation fault?,3
How do I split a string by comma?,3
How do I use map and filter in JavaScript?,3
What's a closure in programming?,3
How do I refactor this large function?,3
How do I debug a memory leak?,3
How do I read a file line-by-line?,3
How do I use environment variables?,3
What's the difference between synchronous and asynchronous?,3
How do I format a date in JavaScript?,3
How do I install a virtual environment in Python?,3
How do I merge two arrays?,3
How do I convert a string to an int?,3
How do I handle user input securely?,3
What is the MVC architecture?,3
How do I deploy my app to Heroku?,3
How do I make a responsive web page?,3
How do I check if a number is prime?,3
How do I write a regular expression?,3
How can I reduce the time complexity of this function?,3
How do I connect to a REST API?,3
How do I calculate the factorial of a number?,3
How do I validate an email address?,3
How do I center text in a flexbox?,3
What does 'immutable' mean in programming?,3
How do I write a class in Python?,3
How do I serialize data to JSON?,3
How do I remove whitespace from a string?,3
What's the difference between local and global scope?,3
How do I pass arguments to a function?,3
How do I add logging to my application?,3
How do I create a dropdown in HTML?,3
How do I redirect a page with JavaScript?,3
What is the call stack?,3
How do I paginate results from a database?,3
How do I install Docker on Windows?,3
How do I write a recursive function?,3
How do I filter rows in pandas?,3
How do I read JSON from a file?,3
How do I use a dictionary comprehension?,3
"What is the difference between var, let, and const?",3
How do I flatten a nested list?,3
How do I avoid callback hell?,3
What is a RESTful service?,3
How do I hash a password?,3
How do I use async/await?,3
How do I create a Git branch?,3
How do I display error messages to users?,3
How do I run a Python script on startup?,3
What is the difference between GET and POST?,3
How do I use SQL joins?,3
How do I write a binary search algorithm?,3
How do I mock a function in tests?,3
How do I convert CSV to JSON?,3
How do I remove an element from a list?,3
How do I install Node.js?,3
How do I create a dropdown menu in React?,3
How do I stop an infinite loop?,3
How do I sort a dictionary by value?,3
How do I handle exceptions in Java?,3
How do I align items in a grid layout?,3
How do I define a function in JavaScript?,3
How do I test an API endpoint?,3
How do I write a switch statement?,3
How do I set a timeout in Python?,3
How do I upload files in Flask?,3
How do I use list comprehensions?,3
How do I generate a random number?,3
How do I avoid SQL injection?,3
How do I create a login form?,3
How do I use session variables?,3
How do I compress a file in Python?,3
How do I find the max value in a list?,3
How do I call a function inside another function?,3
How do I watch a file for changes?,3
How do I set a breakpoint?,3
How do I debounce a function call?,3
How do I use a ternary operator?,3
How do I convert a timestamp to date?,3
How do I merge two dictionaries?,3
What is your favorite color? ,0
How do you cook spaghetti? ,0
Where is the nearest coffee shop? ,0
Why is the sky blue? ,0
Who invented the telephone? ,0
When is the next full moon? ,0
What are the benefits of exercise? ,0
How do I learn to code? ,0
Where can I travel on a budget? ,0
What is the capital of Canada? ,0
What is your favorite color? ,0
How do you cook spaghetti? ,0
Where is the nearest coffee shop? ,0
Why is the sky blue? ,0
Who invented the telephone? ,0
When is the next full moon? ,0
What are the benefits of exercise? ,0
How do I learn to code? ,0
Where can I travel on a budget? ,0
What is the capital of Canada? ,0
What is your favorite color? ,0
How do you cook spaghetti? ,0
Where is the nearest coffee shop? ,0
Why is the sky blue? ,0
Who invented the telephone? ,0
When is the next full moon? ,0
What are the benefits of exercise? ,0
How do I learn to code? ,0
Where can I travel on a budget? ,0
What is the capital of Canada? ,0
What is your favorite color? ,0
How do you cook spaghetti? ,0
Where is the nearest coffee shop? ,0
Why is the sky blue? ,0
Who invented the telephone? ,0
When is the next full moon? ,0
What are the benefits of exercise? ,0
How do I learn to code? ,0
Where can I travel on a budget? ,0
What is the capital of Canada? ,0
What is your favorite color? ,0
How do you cook spaghetti? ,0
Where is the nearest coffee shop? ,0
Why is the sky blue? ,0
Who invented the telephone? ,0
When is the next full moon? ,0
What are the benefits of exercise? ,0
How do I learn to code? ,0
Where can I travel on a budget? ,0
What is the capital of Canada? ,0
What is your favorite color? ,0
How do you cook spaghetti? ,0
Where is the nearest coffee shop? ,0
Why is the sky blue? ,0
Who invented the telephone? ,0
When is the next full moon? ,0
What are the benefits of exercise? ,0
How do I learn to code? ,0
Where can I travel on a budget? ,0
What is the capital of Canada? ,0
What is your favorite color? ,0
How do you cook spaghetti? ,0
Where is the nearest coffee shop? ,0
Why is the sky blue? ,0
Who invented the telephone? ,0
When is the next full moon? ,0
What are the benefits of exercise? ,0
How do I learn to code? ,0
Where can I travel on a budget? ,0
What is the capital of Canada? ,0
What is your favorite color? ,0
How do you cook spaghetti? ,0
Where is the nearest coffee shop? ,0
Why is the sky blue? ,0
Who invented the telephone? ,0
When is the next full moon? ,0
What are the benefits of exercise? ,0
How do I learn to code? ,0
Where can I travel on a budget? ,0
What is the capital of Canada? ,0
What is your favorite color? ,0
How do you cook spaghetti? ,0
Where is the nearest coffee shop? ,0
Why is the sky blue? ,0
Who invented the telephone? ,0
When is the next full moon? ,0
What are the benefits of exercise? ,0
How do I learn to code? ,0
Where can I travel on a budget? ,0
What is the capital of Canada? ,0
What is your favorite color? ,0
How do you cook spaghetti? ,0
Where is the nearest coffee shop? ,0
Why is the sky blue? ,0
Who invented the telephone? ,0
When is the next full moon? ,0
What are the benefits of exercise? ,0
How do I learn to code? ,0
Where can I travel on a budget? ,0
What is the capital of Canada? ,0
What is your favorite color? ,0
How do you cook spaghetti? ,0
Where is the nearest coffee shop? ,0
Why is the sky blue? ,0
Who invented the telephone? ,0
When is the next full moon? ,0
What are the benefits of exercise? ,0
How do I learn to code? ,0
Where can I travel on a budget? ,0
What is the capital of Canada? ,0
What is your favorite color? ,0
How do you cook spaghetti? ,0
Where is the nearest coffee shop? ,0
Why is the sky blue? ,0
Who invented the telephone? ,0
When is the next full moon? ,0
What are the benefits of exercise? ,0
How do I learn to code? ,0
Where can I travel on a budget? ,0
What is the capital of Canada? ,0
What is your favorite color? ,0
How do you cook spaghetti? ,0
Where is the nearest coffee shop? ,0
Why is the sky blue? ,0
Who invented the telephone? ,0
When is the next full moon? ,0
What are the benefits of exercise? ,0
How do I learn to code? ,0
Where can I travel on a budget? ,0
What is the capital of Canada? ,0
What is your favorite color? ,0
How do you cook spaghetti? ,0
Where is the nearest coffee shop? ,0
Why is the sky blue? ,0
Who invented the telephone? ,0
When is the next full moon? ,0
What are the benefits of exercise? ,0
How do I learn to code? ,0
Where can I travel on a budget? ,0
What is the capital of Canada? ,0
What is your favorite color? ,0
How do you cook spaghetti? ,0
Where is the nearest coffee shop? ,0
Why is the sky blue? ,0
Who invented the telephone? ,0
When is the next full moon? ,0
What are the benefits of exercise? ,0
How do I learn to code? ,0
Where can I travel on a budget? ,0
What is the capital of Canada? ,0
What is your favorite color? ,0
How do you cook spaghetti? ,0
Where is the nearest coffee shop? ,0
Why is the sky blue? ,0
Who invented the telephone? ,0
When is the next full moon? ,0
What are the benefits of exercise? ,0
How do I learn to code? ,0
Where can I travel on a budget? ,0
What is the capital of Canada? ,0
What is your favorite color? ,0
How do you cook spaghetti? ,0
Where is the nearest coffee shop? ,0
Why is the sky blue? ,0
Who invented the telephone? ,0
When is the next full moon? ,0
What are the benefits of exercise? ,0
How do I learn to code? ,0
Where can I travel on a budget? ,0
What is the capital of Canada? ,0
What is your favorite color? ,0
How do you cook spaghetti? ,0
Where is the nearest coffee shop? ,0
Why is the sky blue? ,0
Who invented the telephone? ,0
When is the next full moon? ,0
What are the benefits of exercise? ,0
How do I learn to code? ,0
Where can I travel on a budget? ,0
What is the capital of Canada? ,0
What is your favorite color? ,0
How do you cook spaghetti? ,0
Where is the nearest coffee shop? ,0
Why is the sky blue? ,0
Who invented the telephone? ,0
When is the next full moon? ,0
What are the benefits of exercise? ,0
How do I learn to code? ,0
Where can I travel on a budget? ,0
What is the capital of Canada? ,0
What is your favorite color? ,0
How do you cook spaghetti? ,0
Where is the nearest coffee shop? ,0
Why is the sky blue? ,0
Who invented the telephone? ,0
When is the next full moon? ,0
What are the benefits of exercise? ,0
How do I learn to code? ,0
Where can I travel on a budget? ,0
What is the capital of Canada? ,0
What is your favorite color? ,0
How do you cook spaghetti? ,0
Where is the nearest coffee shop? ,0
Why is the sky blue? ,0
Who invented the telephone? ,0
When is the next full moon? ,0
What are the benefits of exercise? ,0
How do I learn to code? ,0
Where can I travel on a budget? ,0
What is the capital of Canada? ,0
What is your favorite color? ,0
How do you cook spaghetti? ,0
Where is the nearest coffee shop? ,0
Why is the sky blue? ,0
Who invented the telephone? ,0
When is the next full moon? ,0
What are the benefits of exercise? ,0
How do I learn to code? ,0
Where can I travel on a budget? ,0
What is the capital of Canada? ,0
What is your favorite color? ,0
How do you cook spaghetti? ,0
Where is the nearest coffee shop? ,0
Why is the sky blue? ,0
Who invented the telephone? ,0
When is the next full moon? ,0
What are the benefits of exercise? ,0
How do I learn to code? ,0
Where can I travel on a budget? ,0
What is the capital of Canada? ,0
What is your favorite color? ,0
How do you cook spaghetti? ,0
Where is the nearest coffee shop? ,0
Why is the sky blue? ,0
Who invented the telephone? ,0
When is the next full moon? ,0
What are the benefits of exercise? ,0
How do I learn to code? ,0
Where can I travel on a budget? ,0
What is the capital of Canada? ,0
What is your favorite color? ,0
How do you cook spaghetti? ,0
Where is the nearest coffee shop? ,0
Why is the sky blue? ,0
Who invented the telephone? ,0
When is the next full moon? ,0
What are the benefits of exercise? ,0
How do I learn to code? ,0
Where can I travel on a budget? ,0
What is the capital of Canada? ,0
What is your favorite color? ,0
How do you cook spaghetti? ,0
Where is the nearest coffee shop? ,0
Why is the sky blue? ,0
Who invented the telephone? ,0
When is the next full moon? ,0
What are the benefits of exercise? ,0
How do I learn to code? ,0
Where can I travel on a budget? ,0
What is the capital of Canada? ,0
What is your favorite color? ,0
How do you cook spaghetti? ,0
Where is the nearest coffee shop? ,0
Why is the sky blue? ,0
Who invented the telephone? ,0
When is the next full moon? ,0
What are the benefits of exercise? ,0
How do I learn to code? ,0
Where can I travel on a budget? ,0
What is the capital of Canada? ,0
What is your favorite color? ,0
How do you cook spaghetti? ,0
Where is the nearest coffee shop? ,0
Why is the sky blue? ,0
Who invented the telephone? ,0
When is the next full moon? ,0
What are the benefits of exercise? ,0
How do I learn to code? ,0
Where can I travel on a budget? ,0
What is the capital of Canada? ,0
What is your favorite color? ,0
How do you cook spaghetti? ,0
Where is the nearest coffee shop? ,0
Why is the sky blue? ,0
Who invented the telephone? ,0
When is the next full moon? ,0
What are the benefits of exercise? ,0
How do I learn to code? ,0
Where can I travel on a budget? ,0
What is the capital of Canada? ,0
What is your favorite color? ,0
How do you cook spaghetti? ,0
Where is the nearest coffee shop? ,0
Why is the sky blue? ,0
Who invented the telephone? ,0
When is the next full moon? ,0
What are the benefits of exercise? ,0
How do I learn to code? ,0
Where can I travel on a budget? ,0
What is the capital of Canada? ,0
